sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,0.75,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,192.29106279206462
gamma,0.75,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,194.04487404087558
gamma,0.75,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,194.75579216703773
gamma,0.75,final,Sonar,0,0.09742392566782815,0.9039488966318234,14,254.90997549984604
gamma,0.75,final,Sonar,1,0.09310627177700358,0.908478513356562,15,270.8462838327978
gamma,0.75,final,Sonar,2,0.1165743321718932,0.8844367015098722,13,248.5045795419719
gamma,0.75,final,Sonar,4,0.11624099883855987,0.8844367015098722,11,251.81449395907111
gamma,0.75,final,Sonar,3,0.11280836236933807,0.8890824622531939,18,322.5828376659192
gamma,0.75,final,Sonar,7,0.11555110336817657,0.8851335656213705,11,248.9554602918215
gamma,0.75,final,Sonar,5,0.12167363530778166,0.8797909407665505,16,282.58373324992135
gamma,0.75,final,Sonar,6,0.09242799070847854,0.9088269454123112,13,291.13267445890233
gamma,0.75,final,Sonar,8,0.10231649245063887,0.8988385598141695,13,229.69940187502652
gamma,0.75,final,Sonar,9,0.12113356562137059,0.8793263646922183,10,220.96745912497863
gamma,0.75,final,ColonCancer,0,0.0816915384615385,0.9192307692307692,346,442.3381877921056
gamma,0.75,final,ColonCancer,1,0.11332730769230762,0.8871794871794872,327,427.0638480000198
gamma,0.75,final,ColonCancer,3,0.08032730769230774,0.9205128205128205,327,427.44631683290936
gamma,0.75,final,ColonCancer,2,0.06650576923076922,0.9346153846153846,355,427.6743334159255
gamma,0.75,final,ColonCancer,4,0.08290076923076928,0.9179487179487179,334,427.91117741703056
gamma,0.75,final,ColonCancer,5,0.1146715384615384,0.885897435897436,342,425.0227382921148
gamma,0.75,final,ColonCancer,6,0.0817765384615384,0.9192307692307693,363,424.2011358749587
gamma,0.75,final,ColonCancer,7,0.07901807692307687,0.9217948717948719,319,423.78129779198207
gamma,1.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,163.0810713749379
gamma,1.0,final,Zoo,1,0.022924999999999907,0.9800000000000001,5,163.2172238328494
gamma,1.0,final,Zoo,2,0.022924999999999907,0.9800000000000001,5,168.58120695897378
gamma,1.0,final,Zoo,3,0.022453571428571403,0.9804761904761905,5,171.7078767500352
gamma,1.0,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,177.2480376251042
gamma,1.0,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,181.0825362498872
gamma,0.75,final,ColonCancer,8,0.09565307692307691,0.9051282051282051,346,403.93416541605256
gamma,1.0,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,176.40575333405286
gamma,1.0,final,Zoo,6,0.022924999999999907,0.9800000000000001,5,178.23380854097195
