algorithm,dataset,run_id,heldout_accuracy,train_cv_fitness,n_selected_features,n_total_features,runtime_seconds
RIME,IonosphereEW,11,0.8450704225352113,0.1532058823529412,16,34,344.64675391698256
RIME,IonosphereEW,14,0.8450704225352113,0.13935714285714293,17,34,349.80224087508395
RIME,IonosphereEW,16,0.9014084507042254,0.1237436974789915,12,34,292.60433379211463
RIME,IonosphereEW,17,0.8309859154929577,0.1635189075630253,15,34,312.8730098339729
RIME,IonosphereEW,18,0.8169014084507042,0.1210903361344538,15,34,330.2572600420099
RIME,IonosphereEW,19,0.8591549295774648,0.1776617647058824,15,34,323.0994387920946
RIME,IonosphereEW,20,0.8450704225352113,0.17471428571428577,17,34,347.2555990421679
RIME,IonosphereEW,21,0.8450704225352113,0.16440126050420154,18,34,337.9124213750474
RIME,IonosphereEW,23,0.8732394366197183,0.15379411764705883,18,34,333.24632287491113
RIME,IonosphereEW,22,0.8591549295774648,0.16204201680672267,22,34,367.4320838751737
RIME,IonosphereEW,24,0.8450704225352113,0.15644747899159678,15,34,323.74510741699487
RIME,IonosphereEW,25,0.8732394366197183,0.1352331932773109,15,34,349.3528950409964
RIME,IonosphereEW,27,0.8873239436619719,0.14554621848739502,14,34,327.1290826671757
RIME,IonosphereEW,26,0.8732394366197183,0.1390630252100841,16,34,355.8267635840457
RIME,IonosphereEW,28,0.8309859154929577,0.1700021008403362,13,34,324.2276887909975
RIME,IonosphereEW,29,0.8309859154929577,0.14760504201680677,21,34,412.12817062507384
RIME,KrVsKpEW,0,0.9171875,0.0968522581335617,15,35,1420.3810571250506
RIME,KrVsKpEW,1,0.8171875,0.16608364420254385,16,35,1411.0226239589974
RIME,KrVsKpEW,2,0.83125,0.19086240215264186,16,35,1428.357724166941
RIME,KrVsKpEW,3,0.6421875,0.3257640273361056,15,35,1439.897222083062
RIME,KrVsKpEW,4,0.7265625,0.28877076198630147,17,35,1437.0507987090386
RIME,KrVsKpEW,5,0.8875,0.09655529904598818,18,35,1451.3846707909834
RIME,KrVsKpEW,6,0.7078125,0.25360251804060663,20,35,1444.6998666659929
RIME,KrVsKpEW,7,0.9,0.10496816138698634,19,35,1438.2191870419774
RIME,KrVsKpEW,8,0.6625,0.34463872920743643,16,35,1454.1865264170337
RIME,KrVsKpEW,9,0.83125,0.22031205662915848,16,35,1450.4053410000633
RIME,KrVsKpEW,10,0.896875,0.10129465814579257,17,35,1466.8058868329972
RIME,KrVsKpEW,11,0.778125,0.19120314793297455,9,35,1471.8269345001318
RIME,KrVsKpEW,13,0.6578125,0.3617411937377692,23,35,1429.2358001251705
RIME,KrVsKpEW,12,0.8484375,0.20540554672211359,14,35,1460.7504756250419
RIME,KrVsKpEW,14,0.7203125,0.2785087680406067,19,35,1446.7544075418264
RIME,KrVsKpEW,15,0.940625,0.07100375336350305,14,35,1463.2911491249688
RIME,KrVsKpEW,16,0.7390625,0.26657986790606647,18,35,1453.3920336251613
RIME,KrVsKpEW,17,0.6234375,0.3711822636374756,14,35,1463.6647329579573
RIME,KrVsKpEW,18,0.815625,0.17179174565802355,17,35,1459.1405824590474
RIME,KrVsKpEW,19,0.7265625,0.29175518285225044,18,35,1472.5400506251026
RIME,KrVsKpEW,20,0.7875,0.20605689670988264,19,35,1478.8751427498646
RIME,KrVsKpEW,21,0.78125,0.22060825892857155,13,35,1481.0212807920761
RIME,KrVsKpEW,22,0.81875,0.19697311490949115,17,35,1488.9872600829694
RIME,KrVsKpEW,23,0.78125,0.20441950525929548,16,35,1490.180863125017
RIME,Leukemia,0,0.8666666666666667,0.03970862503500415,1860,3571,616.9100302078295
RIME,Leukemia,1,0.9333333333333333,0.07695659479137487,1770,3571,609.3077199999243
RIME,KrVsKpEW,25,0.94375,0.06410695174902152,21,35,1420.876165417023
RIME,KrVsKpEW,24,0.6546875,0.37448332008317026,12,35,1445.3044152909424
RIME,KrVsKpEW,26,0.634375,0.3805872217465753,13,35,1424.0643883338198
RIME,Leukemia,2,1.0,0.09349299915989927,1783,3571,606.9985789579805
RIME,KrVsKpEW,27,0.9375,0.0835703812989238,20,35,1371.3389628331643
RIME,Leukemia,3,0.9333333333333333,0.05584738168580229,1731,3571,596.614020582987
RIME,KrVsKpEW,29,0.81875,0.19046670896526427,20,35,1382.5900332499295
RIME,KrVsKpEW,28,0.5953125,0.3932652351394324,10,35,1411.985916665988
RIME,Leukemia,4,0.9333333333333333,0.08901820218426199,1792,3571,555.4293187500443
RIME,Leukemia,5,1.0,0.02164981797815754,1839,3571,555.4764889590442
RIME,Leukemia,6,0.9333333333333333,0.09207140856902829,1811,3571,542.608494583983
RIME,Leukemia,7,1.0,0.07540618874264918,1752,3571,547.5229012498166
RIME,Leukemia,8,1.0,0.037922990758891176,1758,3571,543.8992456661072
RIME,Leukemia,9,0.9333333333333333,0.021537804536544546,1799,3571,543.1354064999614
RIME,Leukemia,10,0.9333333333333333,0.037987398487818645,1781,3571,543.7104197081644
RIME,Leukemia,11,1.0,0.039439792775132966,1764,3571,544.5307430410758
RIME,Leukemia,12,1.0,0.05751820218426217,1792,3571,544.0457272920758
RIME,Leukemia,13,1.0,0.0409817978157379,1779,3571,545.7841159577947
RIME,Leukemia,14,1.0,0.07101820218426211,1792,3571,540.3944007910322
RIME,Leukemia,15,1.0,0.04083057966956036,1725,3571,543.8431509998627
RIME,Leukemia,16,1.0,0.07245939512741523,1771,3571,540.4254922089167
RIME,Leukemia,17,1.0,0.10995659479137497,1770,3571,541.3079117911402
RIME,Leukemia,18,1.0,0.09206020722486699,1807,3571,541.9169929160271
RIME,Leukemia,19,1.0,0.058908989078689356,1753,3571,542.5088483749423
RIME,Leukemia,20,0.8666666666666667,0.04086138336600393,1736,3571,539.6651670841966
RIME,Leukemia,21,0.8666666666666667,0.03958260991318953,1815,3571,541.7478155831341
RIME,Leukemia,22,0.9333333333333333,0.05769462335480264,1855,3571,537.2068099579774
RIME,Leukemia,23,1.0,0.03943139176701199,1761,3571,543.8761403330136
RIME,Leukemia,24,1.0,0.09348739848781862,1781,3571,540.222252083011
RIME,Leukemia,25,1.0,0.05885578269392318,1734,3571,538.9375295829959
RIME,Lymphography,0,0.7333333333333333,0.25549637681159415,6,18,129.89146170788445
RIME,Leukemia,26,0.9333333333333333,0.05736138336600398,1736,3571,548.7358182079624
RIME,Leukemia,27,0.8666666666666667,0.04097619714365725,1777,3571,538.6833518331405
RIME,Lymphography,1,0.7,0.39056280193236725,7,18,141.71423008292913
RIME,Lymphography,2,0.7666666666666667,0.2391932367149759,7,18,143.2577650831081
RIME,Lymphography,3,0.8,0.29714009661835755,8,18,154.56686429097317
RIME,Lymphography,4,0.7333333333333333,0.25628381642512077,10,18,156.80173083394766
RIME,Lymphography,5,0.7333333333333333,0.3476811594202899,6,18,157.69047716702335
RIME,Lymphography,6,0.6333333333333333,0.33010507246376825,6,18,158.21333033312112
RIME,Lymphography,7,0.7333333333333333,0.2764057971014492,12,18,158.42558304197155
RIME,Lymphography,8,0.8,0.3073804347826087,9,18,159.83187637501396
RIME,Lymphography,9,0.8333333333333334,0.3123321256038647,5,18,158.9066988339182
RIME,Leukemia,28,1.0,0.040858583029963605,1735,3571,526.8689254999626
RIME,Lymphography,10,0.7666666666666667,0.1837004830917874,13,18,160.32286662515253
