beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.0,WDBC,23,0.0208728458313925,0.9789163173420278,16,30,593.1381384576671
0.0,ColonCancer,0,0.11169230769230762,0.8871794871794872,609,2000,127.26797166699544
0.0,ColonCancer,1,0.14469230769230773,0.8538461538461538,580,2000,127.03773641679436
0.0,WDBC,24,0.020888216115510047,0.9789007918025151,13,30,433.62439262494445
0.0,WDBC,25,0.01913600372612945,0.98067070330694,14,30,418.5377605841495
0.0,WDBC,26,0.02259431765253834,0.9771774569166279,15,30,398.44422208331525
0.0,ColonCancer,2,0.08123076923076927,0.9179487179487179,574,2000,131.86992416577414
0.0,WDBC,27,0.020888216115510047,0.9789007918025151,9,30,395.10733037488535
0.0,ColonCancer,3,0.12565384615384625,0.873076923076923,576,2000,134.7443019580096
0.0,ColonCancer,4,0.08123076923076916,0.917948717948718,612,2000,133.4243701249361
0.0,ColonCancer,5,0.15865384615384615,0.8397435897435898,577,2000,132.46271762484685
0.0,WDBC,28,0.017383791336748958,0.9824406148113647,11,30,392.35076854238287
0.0,WDBC,29,0.024331159757801722,0.9754230709517154,8,30,395.02687466703355
0.0,ColonCancer,7,0.07742307692307687,0.9217948717948719,557,2000,135.1617658343166
0.0,ColonCancer,8,0.11042307692307686,0.8884615384615385,572,2000,135.1335819172673
0.0,ColonCancer,6,0.11296153846153839,0.885897435897436,554,2000,136.0288059581071
0.0,ColonCancer,9,0.11169230769230762,0.8871794871794872,591,2000,133.5992886670865
0.0,ColonCancer,10,0.09646153846153845,0.9025641025641026,553,2000,134.09790416667238
0.0,ColonCancer,11,0.09519230769230769,0.9038461538461539,569,2000,133.94055650010705
0.0,ColonCancer,12,0.14469230769230773,0.8538461538461538,543,2000,133.2810689578764
0.0,ColonCancer,13,0.12819230769230777,0.8705128205128204,548,2000,132.52378895832226
0.0,ColonCancer,15,0.09646153846153845,0.9025641025641026,572,2000,132.11849533300847
0.0,ColonCancer,14,0.10788461538461555,0.8910256410256409,571,2000,133.07618279196322
0.0,ColonCancer,16,0.11042307692307686,0.8884615384615385,532,2000,133.40766604198143
0.0,ColonCancer,17,0.11042307692307686,0.8884615384615385,565,2000,131.38199354195967
0.0,ColonCancer,18,0.1269230769230768,0.8717948717948719,561,2000,130.6151669160463
0.0,ColonCancer,19,0.14469230769230773,0.8538461538461538,595,2000,130.0076218340546
0.0,ColonCancer,20,0.12819230769230777,0.8705128205128204,531,2000,129.47433362528682
0.0,ColonCancer,21,0.09392307692307691,0.9051282051282051,588,2000,130.83276637503877
0.0,ColonCancer,22,0.11169230769230762,0.8871794871794872,530,2000,132.86586295813322
0.0,ColonCancer,23,0.16119230769230777,0.8371794871794871,547,2000,132.42110141692683
0.0,ColonCancer,24,0.09646153846153845,0.9025641025641026,570,2000,133.16954550007358
0.0,ColonCancer,25,0.09519230769230769,0.9038461538461539,582,2000,132.51062237471342
0.0,ColonCancer,26,0.1091538461538461,0.8897435897435898,534,2000,133.81743879104033
0.0,ColonCancer,27,0.11169230769230762,0.8871794871794872,607,2000,135.9319274588488
0.0,ColonCancer,28,0.1599230769230769,0.8384615384615385,554,2000,134.79636070830747
0.0,ColonCancer,29,0.11042307692307686,0.8884615384615385,597,2000,136.09546129172668
0.0,Leukemia,0,0.014142857142857092,0.9857142857142858,1058,3571,165.46267391601577
0.0,Leukemia,2,0.014142857142857092,0.9857142857142858,1240,3571,167.0314236660488
