algorithm,dataset,metric,mean,std,best,worst
HHO,HeartDisease,fitness,0.4166671316818774,0.32583962848840786,0.1635898305084745,1.0
HHO,HeartDisease,n_selected_features,6.666666666666667,5.055250296034367,13.0,0.0
OOA,HeartDisease,accuracy,0.7454199623352166,0.20121959053650157,0.8419774011299435,0.0
OOA,HeartDisease,fitness,0.2588291090830073,0.19985220628383726,0.1602885267275098,1.0
OOA,HeartDisease,n_selected_features,7.966666666666667,3.9283867200445304,13.0,0.0
PSO,HeartDisease,accuracy,0.7539943502824858,0.03459574476542959,0.8046327683615819,0.6496045197740113
PSO,HeartDisease,fitness,0.24821225988700563,0.03358882652955613,0.1987981747066492,0.349199217731421
PSO,HeartDisease,n_selected_features,6.066666666666666,1.7113996870657915,9.0,3.0
RG-SCSO,HeartDisease,accuracy,0.848864406779661,0.006580637266421971,0.8651977401129944,0.8383050847457628
RG-SCSO,HeartDisease,fitness,0.15372680139069966,0.006230511789564592,0.1373003911342893,0.1639241199478486
RG-SCSO,HeartDisease,n_selected_features,5.333333333333333,1.043498389499902,8.0,3.0
RIME,HeartDisease,accuracy,0.7695047080979284,0.03853486371595066,0.831638418079096,0.6770056497175141
RIME,HeartDisease,fitness,0.23349803129074315,0.037577610135116395,0.1720625814863103,0.3236105606258149
RIME,HeartDisease,n_selected_features,6.9,1.8138357147217055,11.0,4.0
SCSO,HeartDisease,accuracy,0.7759058380414313,0.04781907405608358,0.8384745762711864,0.6535593220338983
SCSO,HeartDisease,fitness,0.2270327075184702,0.04660824116736675,0.1652947848761408,0.3475916558018252
SCSO,HeartDisease,n_selected_features,6.733333333333333,1.9310331143946984,10.0,2.0
SSA,HeartDisease,accuracy,0.6164689265536724,0.3410681914197764,0.8553107344632768,0.0
SSA,HeartDisease,fitness,0.38761883963494126,0.3387037970763723,0.1524731421121252,1.0
SSA,HeartDisease,n_selected_features,7.266666666666667,4.760485502784587,13.0,0.0
WOA,HeartDisease,accuracy,0.7299077212806027,0.20236215127861307,0.8553107344632768,0.0
WOA,HeartDisease,fitness,0.27469904823989566,0.20030481945911902,0.1524731421121252,1.0
WOA,HeartDisease,n_selected_features,8.633333333333333,4.8199815582865275,13.0,0.0
AOA,IonosphereEW,accuracy,0.8406371562709591,0.006656224996554413,0.8548490945674043,0.8260362173038229
AOA,IonosphereEW,fitness,0.1676711760760642,0.006437291804487742,0.1536993963782697,0.1798712036927447
AOA,IonosphereEW,n_selected_features,33.666666666666664,1.4452988925785866,34.0,26.0
COA,IonosphereEW,accuracy,0.8323165660630448,0.15668383574946826,0.9088933601609656,0.0
COA,IonosphereEW,fitness,0.16913405057797762,0.15635322942593838,0.0925485146171145,1.0
COA,IonosphereEW,n_selected_features,9.5,4.333974311568232,16.0,0.0
ECL-SCSO,IonosphereEW,accuracy,0.8464399731723675,0.01744312615040509,0.8831388329979879,0.8145674044265594
ECL-SCSO,IonosphereEW,fitness,0.15664207361817967,0.017425778740991445,0.1198102023908155,0.1876959166765297
ECL-SCSO,IonosphereEW,n_selected_features,15.7,2.672701504720146,23.0,9.0
GA,IonosphereEW,accuracy,0.8288464118041582,0.012948628888483865,0.8575452716297788,0.8088531187122736
GA,IonosphereEW,fitness,0.1753734248629029,0.012846071569963266,0.1475007693218131,0.1945295301219079
GA,IonosphereEW,n_selected_features,20.166666666666668,2.9221377258590824,27.0,16.0
GWO,IonosphereEW,accuracy,0.8417773306505701,0.015230209333349936,0.8688531187122738,0.8090140845070424
GWO,IonosphereEW,fitness,0.16172867795005322,0.015520678579671796,0.1345412948277901,0.1949584092792045
GWO,IonosphereEW,n_selected_features,17.3,3.446254004954752,26.0,10.0
HHO,IonosphereEW,accuracy,0.0843326626425218,0.253222336002261,0.8831790744466801,0.0
HHO,IonosphereEW,fitness,0.9156577228074329,0.25323152891412476,0.1188880104154337,1.0
HHO,IonosphereEW,n_selected_features,0.5,2.0289570391377603,11.0,0.0
OOA,IonosphereEW,accuracy,0.0844279007377599,0.2535101200560321,0.8832193158953722,0.0
OOA,IonosphereEW,fitness,0.9154752017990295,0.2537947562412994,0.116495230204758,1.0
OOA,IonosphereEW,n_selected_features,0.2,0.6531972647421809,3.0,0.0
PSO,IonosphereEW,accuracy,0.8487042253521128,0.013261122129110365,0.8802414486921529,0.8231388329979878
PSO,IonosphereEW,fitness,0.15459654239160453,0.013425825364733156,0.1223844952065333,0.1798712036927447
