group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
Diabetes,SCSO,0.17059839516878128,0.7097623291740941,0.6936652236652235,=
Diabetes,SSA,0.39305018074810505,0.7097623291740941,0.6604232804232805,=
Diabetes,WOA,0.8450763796366518,0.7097623291740941,0.6882058682058682,=
GermanCredit,AOA,3.3365104744939865e-06,0.7093666666666665,0.7412666666666667,-
GermanCredit,COA,0.7869371467657944,0.7093666666666665,0.7080999999999998,=
GermanCredit,GA,2.3519771945519353e-06,0.7093666666666665,0.6692999999999999,+
GermanCredit,GWO,0.10199257328585419,0.7093666666666665,0.6994999999999999,=
GermanCredit,HHO,0.369483360837803,0.7093666666666665,0.6687000000000001,=
GermanCredit,OOA,0.023410143330693245,0.7093666666666665,0.6592,+
GermanCredit,PSO,0.9507951449265917,0.7093666666666665,0.7090666666666666,=
GermanCredit,SCSO,0.9589890887069709,0.7093666666666665,0.7099333333333332,=
GermanCredit,SSA,0.5698575973510742,0.7093666666666665,0.6900999999999998,=
GermanCredit,WOA,0.048312106544827406,0.7093666666666665,0.698,+
HeartDisease,AOA,2.5630832507250074e-06,0.7678342749529189,0.8197212806026365,-
HeartDisease,COA,0.3037409443409239,0.7678342749529189,0.777497175141243,=
HeartDisease,GA,2.348795533180237e-06,0.7678342749529189,0.6887758945386063,+
HeartDisease,GWO,0.1459994912147522,0.7678342749529189,0.7470772128060263,=
HeartDisease,HHO,0.07324407435953617,0.7678342749529189,0.5866610169491525,=
HeartDisease,OOA,0.0377543158627475,0.7678342749529189,0.7454199623352166,+
HeartDisease,PSO,0.13567605403850383,0.7678342749529189,0.7539943502824858,=
HeartDisease,SCSO,0.22855282202363014,0.7678342749529189,0.7759058380414313,=
HeartDisease,SSA,0.9838335812091827,0.7678342749529189,0.6164689265536722,=
HeartDisease,WOA,0.7303419969975948,0.7678342749529189,0.7299077212806026,=
IonosphereEW,AOA,0.08219836881898057,0.8464399731723673,0.840637156270959,=
IonosphereEW,COA,0.00577649287879467,0.8464399731723673,0.8323165660630447,+
IonosphereEW,GA,0.00013739429414272308,0.8464399731723673,0.8288464118041582,+
IonosphereEW,GWO,0.370740607380867,0.8464399731723673,0.84177733065057,=
IonosphereEW,HHO,1.919722783767457e-06,0.8464399731723673,0.0843326626425218,+
IonosphereEW,OOA,2.3519771945519353e-06,0.8464399731723673,0.08442790073775988,+
IonosphereEW,PSO,0.7051207826903947,0.8464399731723673,0.8487042253521128,=
IonosphereEW,SCSO,0.3546540258968237,0.8464399731723673,0.8510744466800805,=
IonosphereEW,SSA,1.971950839817986e-05,0.8464399731723673,0.2525070422535211,+
IonosphereEW,WOA,2.60770320892334e-08,0.8464399731723673,0.19183501006036216,+
KrVsKpEW,AOA,1.862645149230957e-09,0.8018981970526867,0.9299969353155972,-
KrVsKpEW,COA,0.03841841779649258,0.8018981970526867,0.8529421296296297,-
KrVsKpEW,GA,3.725290298461914e-09,0.8018981970526867,0.620108225743349,+
KrVsKpEW,GWO,6.917864084243774e-06,0.8018981970526867,0.6817389964788731,+
KrVsKpEW,HHO,0.027741437777876854,0.8018981970526867,0.8454848395931142,-
