config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,Parkinsons,28,0.03500699300699312,0.9692307692307691,10,22,176.5114996661432
bPSO-TVT,Parkinsons,29,0.033643356643356534,0.9692307692307693,7,22,254.53566208295524
bPSO-TVT,Sonar,0,0.10991579558652734,0.8941927990708478,31,60,309.2691707909107
bPSO-TVT,Sonar,1,0.10418989547038338,0.8993031358885016,27,60,306.35019579180516
bPSO-TVT,Sonar,2,0.08483275261324048,0.9183507549361207,24,60,300.4646662909072
bPSO-TVT,Sonar,3,0.08051509872241591,0.9228803716608593,25,60,298.56381604191847
bPSO-TVT,Sonar,4,0.11472183507549363,0.8900116144018583,35,60,300.33191308309324
bPSO-TVT,Sonar,5,0.11018583042973287,0.8944250871080139,34,60,299.60211874987
bPSO-TVT,Sonar,6,0.05188443670150981,0.9518002322880372,25,60,309.7245999998413
bPSO-TVT,Sonar,7,0.09297967479674797,0.9089430894308943,17,60,337.0817456250079
bPSO-TVT,Sonar,8,0.08172183507549365,0.9233449477351916,35,60,322.86053383280523
bPSO-TVT,Sonar,9,0.10544308943089424,0.8983739837398375,29,60,322.7257883332204
bPSO-TVT,Sonar,11,0.08982868757259008,0.9134727061556329,25,60,318.1359564999584
bPSO-TVT,Sonar,10,0.10464982578397221,0.8988385598141695,27,60,320.07931733410805
bPSO-TVT,Sonar,12,0.0893803716608595,0.913588850174216,23,60,316.5652161659673
bPSO-TVT,Sonar,13,0.10485656213704994,0.8993031358885017,31,60,316.56414191704243
bPSO-TVT,Sonar,14,0.07124157955865282,0.932752613240418,28,60,314.90106454188935
bPSO-TVT,Sonar,15,0.08610278745644602,0.9185830429732869,33,60,322.31158554088324
bPSO-TVT,Sonar,16,0.09410627177700358,0.908478513356562,21,60,323.1494349578861
bPSO-TVT,Sonar,17,0.08090011614401868,0.9229965156794424,28,60,324.25240212492645
bPSO-TVT,Sonar,18,0.07057491289198616,0.932752613240418,24,60,323.38162704207934
bPSO-TVT,Sonar,19,0.07555923344947739,0.9282229965156794,27,60,325.2585750420112
bPSO-TVT,Sonar,20,0.07595586527293852,0.9279907084785133,28,60,330.7479502079077
bPSO-TVT,Sonar,21,0.09510627177700358,0.908478513356562,27,60,332.24352720798925
bPSO-TVT,Sonar,22,0.09510627177700358,0.908478513356562,27,60,339.3864643750712
bPSO-TVT,SpectEW,0,0.13702001143510562,0.8652690426275333,8,22,154.97481770790182
bPSO-TVT,Sonar,23,0.09959059233449481,0.9039488966318234,27,60,359.3045598338358
bPSO-TVT,Sonar,24,0.10435656213704994,0.8993031358885017,28,60,367.2712174169719
bPSO-TVT,Sonar,25,0.07982520325203252,0.9235772357723577,25,60,367.3958311669994
bPSO-TVT,Sonar,26,0.07595586527293852,0.9279907084785133,28,60,367.8167059170082
bPSO-TVT,Sonar,27,0.08100348432055755,0.9232288037166085,30,60,371.3054532078095
bPSO-TVT,Sonar,28,0.09117363530778178,0.9131242740998837,31,60,375.55955766607076
bPSO-TVT,Sonar,29,0.09503135888501753,0.9090592334494773,30,60,383.5145790411625
bPSO-TVT,SpectEW,1,0.1425048599199543,0.8615653389238295,12,22,194.5149731670972
bPSO-TVT,SpectEW,2,0.13440080045740424,0.8688329839273236,10,22,194.41691683302633
bPSO-TVT,SpectEW,4,0.12301543739279586,0.879874213836478,9,22,228.08999612508342
